Area(SQM),Bedroom,Bathroom,Location,Price,Negotiable,Balcony,Electricity,Water,Gas,Landline,Elevator,Security,Built_in_Kitchen,Maids_Room,Private_Garden,Parking,Central(A/C)& heating,Pool,Type,Level,Furnished,Compound,Delivery_Date,Delivery_Term
125,3,2,Shatby,2200000,1,1,1,1,1,0,1,0,0,0,0,0,0,0,Apartment,10,0.0,,Ready,Finished
120,4,1,Sidi Beshr,500000,0,0,1,1,1,1,0,0,0,0,0,0,0,0,Apartment,3,0.0,,Ready,Finished
165,3,2,Sidi Beshr,1500000,1,1,1,1,1,0,1,0,0,0,0,0,0,0,Apartment,3,0.0,,,Finished
155,3,2,Cleopatra,1650000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Apartment,3,0.0,,Ready,Finished
210,3,2,Smoha,2950000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Apartment,6,0.0,,,Finished
80,2,1,Miami,550000,0,0,0,1,0,1,1,0,0,0,0,0,0,0,Apartment,10+,0.0,,soon,Finished
150,3,2,Al Hadrah,1100000,1,1,1,0,1,1,1,1,1,0,0,1,1,0,Apartment,1,0.0,,Ready,Finished
160,3,2,Glim,2000080,0,1,1,1,1,0,1,0,0,0,0,0,0,0,Apartment,4,0.0,,,
123,2,2,Smoha,2700000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Apartment,1,0.0,,2023,Finished
65,2,1,Sidi Beshr,400000,0,0,1,1,1,0,0,0,0,0,0,0,0,0,Apartment,6,0.0,,Ready,
135,3,2,Smoha,2400000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Apartment,6,0.0,Murooj,2025,Finished
115,2,2,Smoha,2050000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Apartment,5,0.0,Murooj,2025,Finished
260,3,3,Smoha,1500000,1,1,0,0,0,0,1,1,0,0,0,1,0,0,Apartment,6,0.0,,2023,Finished
120,2,2,Nakheel,340000,1,1,1,1,0,1,1,1,0,0,0,0,0,0,Apartment,3,0.0,Nakheel,Ready,Finished
110,2,1,Nakheel,290000,1,1,1,1,0,1,1,1,0,1,0,0,0,0,Apartment,2,0.0,,,Finished
235,4,3,San Stefano,7596000,0,1,1,1,1,0,0,1,0,1,1,1,1,1,Duplex,,0.0,,2023,Semi Finished
110,2,1,Miami,850000,0,1,0,0,0,1,0,0,0,0,0,0,0,0,Apartment,,,,Ready,Finished
220,4,2,Nakheel,380000,1,1,1,1,0,1,1,1,0,1,1,0,0,0,Duplex,5,0.0,,,Finished
100,2,1,Nakheel,270000,1,1,1,1,0,1,1,1,1,1,0,0,0,0,Apartment,3,0.0,,,Finished
191,3,2,Smoha,3800000,1,1,0,0,1,1,1,1,0,0,0,1,0,1,Apartment,8,0.0,,,Not Finished
110,2,1,Nakheel,650000,0,1,1,1,0,1,1,1,0,0,1,1,1,1,Apartment,,0.0,,Ready,Finished
220,2,1,Nakheel,340000,1,1,1,1,1,1,1,1,0,1,0,0,0,1,Duplex,5,0.0,,Ready,Finished
120,2,1,Agami,400000,0,0,1,1,1,1,0,0,0,0,0,0,0,0,Apartment,9,,,,Finished
75,2,1,Sidi Beshr,330000,1,1,0,0,0,0,0,1,0,0,0,0,0,0,Apartment,10+,0.0,,Ready,Not Finished
245,4,3,Smoha,4650000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Apartment,,0.0,,Ready,Finished
90,2,1,Nakheel,265000,1,1,1,1,0,0,1,1,0,1,0,0,0,0,Apartment,3,0.0,,,
85,3,1,Mandara,420000,0,0,1,1,1,0,0,0,0,0,0,0,0,0,Apartment,7,0.0,,,Finished
135,3,1,Sidi Beshr,1500000,0,1,1,1,0,1,1,0,0,0,0,0,0,0,Apartment,10+,0.0,,soon,Semi Finished
160,3,2,Sporting,2750000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Apartment,10+,0.0,,,Finished
120,3,2,Borg al-Arab,830000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Apartment,4,0.0,,Ready,Semi Finished
175,5,1,Agami,300000,1,1,1,1,1,1,0,0,0,0,0,0,0,0,Apartment,1,0.0,,Ready,Finished
125,2,1,Seyouf,750000,0,1,1,1,1,1,1,0,1,0,0,0,0,0,Apartment,5,0.0,,,Finished
250,5,3,Sporting,4500000,0,1,1,1,1,0,1,1,0,0,0,0,0,0,Apartment,10+,0.0,,,Finished
120,2,1,Raml Station,1850000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Apartment,7,0.0,,,Finished
155,3,2,Cleopatra,1750000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Apartment,10+,,,,Finished
160,3,2,Smoha,2240000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Apartment,7,0.0,,2024,Semi Finished
120,2,1,Mandara,900000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Apartment,8,0.0,,,Finished
100,2,1,Victoria,720000,0,1,1,1,1,0,1,0,0,0,0,0,0,0,Apartment,1,0.0,,Ready,Finished
165,3,2,Sidi Gaber,2950000,0,1,1,1,1,0,1,0,0,0,0,0,0,0,Apartment,6,0.0,,Ready,Finished
186,3,2,Azarita,3200000,1,1,1,1,1,0,1,1,0,0,0,0,0,0,Apartment,7,0.0,,Ready,Finished
170,3,3,Glim,3800000,0,1,1,1,1,0,1,1,0,0,0,0,0,0,Apartment,4,0.0,,,
70,2,1,Mandara,570000,0,1,1,1,1,1,1,1,0,0,0,1,0,0,Apartment,5,0.0,,Ready,Finished
131,3,2,Gianaclis,1500000,0,1,1,1,1,0,1,0,0,0,0,0,0,0,Apartment,2,0.0,,Ready,Finished
